,total_time_rank,avg_time_rank,use_times_rank,days_duration_rank,row_mean
592,4,255,8,57,81.0
613,1,126,31,172,82.5
587,21,177,92,55,86.25
326,5,183,28,135,87.75
524,13,321,14,4,88.0
625,3,162,39,164,92.0
518,9,323,7,36,93.75
586,36,205,108,54,100.75
267,11,374,4,14,100.75
547,32,223,80,69,101.0
269,47,234,112,12,101.25
489,2,272,2,141,104.25
388,28,250,52,98,107.0
374,14,160,113,148,108.75
507,25,378,16,22,110.25
594,20,173,98,159,112.5
556,37,290,49,75,112.75
519,42,333,43,37,113.75
608,16,222,44,174,114.0
426,33,159,154,115,115.25
462,15,221,38,195,117.25
313,61,315,75,27,119.5
630,7,138,130,205,120.0
522,58,346,53,31,122.0
310,8,261,20,203,123.0
441,53,176,164,107,125.0
375,35,237,83,147,125.5
549,63,153,217,70,125.75
516,64,334,72,35,126.25
487,62,182,173,92,127.25
590,73,229,155,56,128.25
342,50,247,97,124,129.5
351,44,246,89,140,129.75
459,54,257,105,103,129.75
546,66,265,124,68,130.75
379,46,194,141,143,131.0
287,26,206,81,214,131.75
491,19,356,11,150,134.0
618,45,161,181,162,137.25
275,106,302,147,7,140.5
334,29,387,18,129,140.75
622,55,187,156,166,141.0
525,79,426,56,5,141.5
623,31,146,174,217,142.0
428,51,375,34,113,143.25
415,17,256,29,273,143.75
317,111,289,159,23,145.5
512,81,414,62,33,147.5
468,22,253,35,282,148.0
607,40,351,30,175,149.0
529,151,157,274,15,149.25
356,56,335,59,151,150.25
392,6,501,1,95,150.75
417,67,365,64,111,151.75
470,84,285,137,105,152.75
368,30,419,13,152,153.5
327,41,423,21,134,154.75
508,101,408,87,30,156.5
574,93,416,78,46,158.25
557,120,251,194,76,160.25
376,74,308,115,146,160.75
395,48,494,10,93,161.25
469,27,281,36,304,162.0
562,140,212,239,60,162.75
553,85,263,148,160,164.0
348,70,403,55,131,164.75
371,91,267,152,149,164.75
390,116,280,175,97,167.0
266,76,218,167,208,167.25
540,60,537,9,64,167.5
